H	700001			2501										7/3/2025
D	1	EA	9.0
D	102	EA	9.0
D	115	EA	10.0
D	118	EA	5.0
D	142	EA	3.0
D	154	EA	2.0
D	207	EA	16.0
D	208	EA	16.0
D	22	EA	16.0
D	273	EA	7.0
D	281	EA	3.0
D	286	EA	9.0
D	287	EA	7.0
D	291	EA	7.0
D	3	EA	24.0
D	31	EA	28.0
D	313	EA	4.0
D	314	EA	3.0
D	4	EA	45.0
D	40	EA	8.0
D	49	EA	3.0
D	5	EA	5.0
D	50	EA	9.0
D	550	EA	36.0
D	552	EA	9.0
D	555	EA	9.0
D	556	EA	9.0
D	560	EA	36.0
D	561	EA	9.0
D	563	EA	5.0
D	565	EA	5.0
D	571	EA	7.0
D	575	EA	7.0
D	577	EA	6.0
D	578	EA	7.0
D	579	EA	6.0
D	588	EA	4.0
D	589	EA	3.0
D	594	EA	5.0
D	60	EA	18.0
D	600	EA	5.0
D	613	EA	5.0
D	62	EA	3.0
D	620	EA	10.0
D	621	EA	6.0
D	622	EA	10.0
D	623	EA	6.0
D	703	EA	3.0
D	72	EA	12.0
D	73	EA	7.0
D	748	EA	6.0
D	751	EA	6.0
D	752	EA	6.0
D	791	EA	6.0
D	792	EA	6.0
D	81	EA	7.0
D	83	EA	4.0
D	94	EA	24.0
D	96	EA	18.0
D	97	EA	3.0
D	98	EA	15.0
E																		
H	700002			2502										7/3/2025
D	1	EA	9.0
D	102	EA	12.0
D	106	EA	4.0
D	115	EA	10.0
D	118	EA	5.0
D	22	EA	8.0
D	261	EA	3.0
D	273	EA	7.0
D	278	EA	3.0
D	286	EA	3.0
D	291	EA	14.0
D	3	EA	8.0
D	300	EA	3.0
D	31	EA	12.0
D	342	EA	3.0
D	4	EA	12.0
D	40	EA	8.0
D	49	EA	3.0
D	5	EA	5.0
D	50	EA	9.0
D	550	EA	12.0
D	552	EA	9.0
D	555	EA	12.0
D	556	EA	9.0
D	560	EA	28.0
D	561	EA	9.0
D	563	EA	10.0
D	565	EA	5.0
D	589	EA	3.0
D	590	EA	5.0
D	592	EA	10.0
D	594	EA	5.0
D	60	EA	9.0
D	600	EA	5.0
D	601	EA	5.0
D	622	EA	5.0
D	703	EA	3.0
D	72	EA	12.0
D	73	EA	7.0
D	94	EA	30.0
D	96	EA	12.0
D	97	EA	3.0
D	98	EA	18.0
E																		
H	700004			2505										7/3/2025
D	1	EA	3.0
D	102	EA	6.0
D	107	EA	5.0
D	22	EA	12.0
D	273	EA	14.0
D	278	EA	3.0
D	283	EA	3.0
D	287	EA	7.0
D	291	EA	21.0
D	3	EA	36.0
D	300	EA	3.0
D	31	EA	28.0
D	313	EA	4.0
D	315	EA	3.0
D	342	EA	3.0
D	343	EA	15.0
D	4	EA	45.0
D	40	EA	12.0
D	49	EA	15.0
D	50	EA	3.0
D	51	EA	8.0
D	550	EA	20.0
D	552	EA	6.0
D	553	EA	7.0
D	555	EA	24.0
D	556	EA	15.0
D	560	EA	36.0
D	561	EA	6.0
D	571	EA	14.0
D	575	EA	14.0
D	577	EA	6.0
D	578	EA	7.0
D	579	EA	9.0
D	590	EA	5.0
D	592	EA	15.0
D	594	EA	15.0
D	60	EA	18.0
D	600	EA	35.0
D	601	EA	15.0
D	604	EA	10.0
D	609	EA	10.0
D	62	EA	3.0
D	703	EA	6.0
D	72	EA	8.0
D	73	EA	7.0
D	792	EA	6.0
D	81	EA	7.0
D	83	EA	8.0
D	94	EA	66.0
